Announcement,Origin,Destination,Distance_Car-Peak,Time_Car-Peak,Earliesttime,Latesttime,Announcementtime,Starttime,Origin_Latitude,Origin_Longitude,Destination_Latitude,Destination_Longitude
1,25065,23271,11.62968939,17.71309706,447.2819888,484.9950858,449.5656641,457.2819888,-37.73187771,144.8988025,-37.67635723,144.9228247
2,24411,23275,71.02571352,85.69314286,91.76662439,197.4597672,67.19982136,101.7666244,-37.80988082,145.3254123,-37.56612533,144.7071286
3,24654,24608,41.05281184,46.35183013,281.8143071,348.1661372,259.7718113,291.8143071,-37.67631627,144.603198,-37.81229442,144.911554
4,21113,21113,5.096558435,5.662842706,469.635428,495.2982707,460.6183651,479.635428,-37.83470174,145.0749054,-37.83500436,145.0554702
5,21182,21182,8.354075675,9.282306306,255.4526006,284.7349069,208.1547295,265.4526006,-37.77915675,144.7941976,-37.78754393,144.7843511
6,25902,24605,3.571106847,6.963504865,682.8582649,709.8217697,624.7387452,692.8582649,-37.83427625,144.97726,-37.81679731,144.9236885
7,21112,21112,5.633462783,6.259403092,304.3906329,330.650036,249.9355529,314.3906329,-37.85587656,145.0778673,-37.84039735,145.1193592
8,21612,21616,10.26939686,15.27380168,810.4085153,845.682317,773.6136173,820.4085153,-38.02721127,145.3684455,-37.98675818,145.29094
9,22171,22171,10.05100484,11.16778316,795.8231486,826.9909317,752.4321492,805.8231486,-38.12822968,145.2141925,-38.13120425,145.226825
10,27454,27454,17.35064062,19.27848958,694.8897201,734.1682096,665.4621651,704.8897201,-37.63446886,145.4932264,-37.62649097,145.5211623
11,23674,23674,8.032384258,8.924871398,344.7982059,373.7230773,333.5718513,354.7982059,-37.91709101,145.2590074,-37.915612,145.2758571
12,23431,23434,12.70126948,18.52774154,908.4148394,946.942581,872.1663741,918.4148394,-37.96729527,145.1275501,-38.05749101,145.0960192
13,22674,22674,11.2754013,12.52822367,287.6895026,320.2177263,249.5726895,297.6895026,-38.00873735,145.181865,-38.02344865,145.2056751
14,25252,21892,7.524224691,13.77858519,369.9754446,403.7540298,326.8469011,379.9754446,-37.74438551,144.9802758,-37.72430007,145.0318767
15,20661,20661,6.620187375,7.35576375,270.6681348,298.0238986,250.6406051,280.6681348,-37.7378056,145.0810836,-37.7533197,145.0451073
16,23274,23274,14.59852053,16.22057837,267.8548258,304.0754042,248.2058374,277.8548258,-37.60227017,144.8713785,-37.60584214,144.9239716
17,22171,22174,10.35100912,14.22290105,498.7635788,532.9864798,506.466346,508.7635788,-38.14348384,145.1892179,-38.12867402,145.1528807
18,20912,20912,6.331585937,7.035095486,287.8314549,314.8665504,297.6227258,297.8314549,-37.96758255,144.9846511,-37.95266445,145.0632554
19,24412,26984,7.227852874,11.79146897,629.1509182,660.9423872,638.376711,639.1509182,-37.80100135,145.2779155,-37.84090543,145.234859
20,24411,24601,34.28100117,47.92704086,173.5175272,241.4445681,146.2758392,183.5175272,-37.80334129,145.3098671,-37.80621785,144.9621005
21,20912,23431,8.037665278,12.46162306,175.9402794,208.4019024,140.5952204,185.9402794,-37.96147107,145.0262737,-37.97226923,145.1005618
22,24608,24601,3.651196529,8.878211412,542.546555,571.4247664,529.4663672,552.546555,-37.81592405,144.9786622,-37.8234236,144.9275993
23,27456,27456,17.278456,19.19828444,877.089503,916.2877874,848.7241917,887.089503,-37.77346938,145.4789415,-37.78000395,145.4638153
24,24975,24971,6.766257639,11.57800659,636.3342132,667.9122198,630.6949077,646.3342132,-37.88952196,145.1048325,-37.90914593,145.1510644
25,27352,27352,3.832041,4.257823333,529.0040039,553.2618272,486.458736,539.0040039,-37.82842879,144.9895455,-37.8342157,144.9965057
26,21891,21891,5.076000888,5.640000987,378.1235884,403.7635894,339.7716739,388.1235884,-37.76850753,144.9753684,-37.76427755,144.9736283
27,23434,22674,13.05394066,18.74429743,551.0456472,589.7899446,495.024143,561.0456472,-38.04988163,145.1246089,-38.02398084,145.1576193
28,24412,24601,29.86138642,40.96562592,162.628499,223.5941249,111.7569601,172.628499,-37.82259174,145.2767536,-37.81574719,144.9751472
29,22174,23434,14.50689237,16.98836762,335.8486144,372.836982,279.5514168,345.8486144,-38.13397463,145.1403981,-38.03884802,145.1141599
30,27453,27453,14.79074134,16.43415704,720.030028,756.464185,729.8407142,730.030028,-37.77492615,145.3250498,-37.77775897,145.3070266
31,23672,23672,7.742508692,8.602787435,364.2526213,392.8554087,323.7513462,374.2526213,-37.86995373,145.262103,-37.87457339,145.2786657
32,21892,21892,7.437422687,8.263802986,653.9063052,682.1701082,599.7342555,663.9063052,-37.71302141,145.0584148,-37.72339476,144.9947524
33,26985,23673,11.82251299,17.91525757,617.7846421,655.6998997,586.5073879,627.7846421,-37.83514142,145.1752458,-37.87995613,145.2669429
34,20661,26984,20.62551709,32.63688916,147.9729062,200.6097953,124.4468907,157.9729062,-37.7580381,145.0355329,-37.84249448,145.2003033
35,21892,23271,14.76993865,22.98904572,147.3306623,190.319708,96.58765324,157.3306623,-37.73014687,144.9847463,-37.66324705,144.9122451
36,24974,24601,26.8099191,36.73570566,513.6373989,570.3731046,500.7601596,523.6373989,-37.89681784,145.2193813,-37.81052874,144.9500686
37,26984,27352,20.294415,33.3015675,171.4397945,224.741362,135.830039,181.4397945,-37.83901371,145.1645861,-37.82581901,145.0414569
38,24608,24601,3.651196529,8.878211412,777.7641557,806.6423671,749.5165627,787.7641557,-37.81773887,144.9301066,-37.82614627,144.9355723
39,27453,27453,14.79074134,16.43415704,797.8404781,834.2746352,767.2981615,807.8404781,-37.77919427,145.3501949,-37.76438805,145.3724331
40,27453,27453,14.79074134,16.43415704,312.331009,348.7651661,281.3381095,322.331009,-37.78070511,145.3821714,-37.76427474,145.3805726
41,27453,27453,14.79074134,16.43415704,691.607813,728.04197,664.6174765,701.607813,-37.76574781,145.3326078,-37.77254658,145.3275207
42,24608,24608,8.974677865,9.971864294,536.5340224,566.5058867,510.0224561,546.5340224,-37.79758685,144.9380784,-37.81717174,144.9686612
43,20661,20661,6.620187375,7.35576375,316.8405773,344.196341,273.8418262,326.8405773,-37.75750964,145.07325,-37.74305246,145.0678826
44,21114,26985,14.56391391,23.01827066,684.9624247,727.9806954,633.2401346,694.9624247,-37.796757,145.06298,-37.8197444,145.139828
45,21891,25713,20.69545178,33.22708119,770.3178096,823.5448908,743.2214138,780.3178096,-37.77541901,145.0380116,-37.7154228,145.2084886
46,26352,26351,6.35583533,11.22518416,512.3220783,543.5472624,497.2504085,522.3220783,-37.85525594,145.0678042,-37.84978442,145.0364794
47,23672,23672,7.742508692,8.602787435,220.8861923,249.4889798,170.2069642,230.8861923,-37.87567151,145.2602143,-37.86177466,145.2599237
48,21112,21111,6.993540672,13.51604951,480.7562026,514.2722521,475.867103,490.7562026,-37.85527102,145.1097841,-37.80437904,145.0949632
49,27071,27071,16.34039908,18.15599898,258.1043805,296.2603795,227.1875315,268.1043805,-37.5216309,145.0588993,-37.53773188,145.1019891
50,23674,24605,34.3091086,41.74319719,423.5547783,485.2979754,404.6951,433.5547783,-37.91291944,145.2276322,-37.81626782,144.9581861
51,25345,25345,8.951060942,9.945623269,276.4693543,306.4149775,280.2212814,286.4693543,-38.25214217,145.0394054,-38.2525629,145.0575385
52,21616,22674,11.97743386,18.17140384,854.1829225,892.3543264,811.5376672,864.1829225,-37.97475605,145.2722011,-38.0094216,145.2081433
53,24601,24601,3.533588058,3.926208953,479.7594128,503.6856217,437.1685427,489.7594128,-37.80462962,145.0061693,-37.82512527,144.9565919
54,24214,24214,8.226967689,9.14107521,891.9391454,921.0802206,862.2161117,901.9391454,-37.77437791,145.12744,-37.76304616,145.1731596
55,23111,23111,8.410533485,9.345037205,536.0189536,565.3639909,543.8652513,546.0189536,-37.86555696,144.8474519,-37.8610141,144.8005329
56,24601,23434,35.63296094,50.07647902,642.8134311,712.8899102,649.5436572,652.8134311,-37.81956648,144.9342676,-38.04459311,145.1051621
57,24608,21113,10.73383663,21.27311986,894.4097027,935.6828226,897.2163893,904.4097027,-37.80817328,144.924019,-37.83496653,145.0345845
58,20661,20661,6.620187375,7.35576375,218.4133443,245.769108,175.5846318,228.4133443,-37.73886252,145.0439467,-37.73795658,145.0342273
59,24601,23434,35.63296094,50.07647902,683.5946217,753.6711007,693.3853186,693.5946217,-37.80833548,144.952243,-38.04520186,145.0997925
60,25902,24605,3.571106847,6.963504865,377.4204484,404.3839533,353.7221138,387.4204484,-37.84914701,144.9910303,-37.82213003,144.9357192
61,24601,23271,20.75861335,32.53321989,740.9142881,793.447508,680.9402856,750.9142881,-37.81291107,144.9355723,-37.66708969,144.9384767
62,21181,24601,24.92532823,31.63575299,175.9742982,227.6100512,143.8732351,185.9742982,-37.70422254,144.8237002,-37.82576812,144.9493438
63,25253,25253,5.958645332,6.620717036,345.6350051,372.2557222,304.1066636,355.6350051,-37.69593784,144.924602,-37.70072663,144.9646048
64,21182,27351,20.82532084,32.90505885,642.6414158,695.5464746,597.9988599,652.6414158,-37.77330083,144.8102706,-37.78283701,145.0148344
65,23672,22674,24.16767485,33.8877753,600.7000514,654.5878267,561.2744085,610.7000514,-37.87487632,145.2972625,-38.00447982,145.1493439
66,24601,27352,4.845492727,10.93495773,783.0795565,814.0145143,744.9052451,793.0795565,-37.80606659,144.9686239,-37.82540296,145.0118761
67,21182,25065,14.05488821,18.49678686,795.820158,834.3169448,745.0866662,805.820158,-37.78867733,144.8361902,-37.7303681,144.8932971
68,24601,25901,7.367963107,15.17280083,738.7268708,773.8996717,687.0027255,748.7268708,-37.81060437,144.9409359,-37.87642641,144.9737321
69,25344,25344,16.67396633,18.52662925,410.5408255,449.0674548,413.7069282,420.5408255,-38.38822475,144.9637557,-38.39774778,144.9624514
70,20661,24601,13.07228576,28.46699848,292.7599812,341.2269797,276.4997788,302.7599812,-37.74214652,145.0525056,-37.80912959,144.9502136
71,24330,21181,17.71359138,23.83746163,487.4201555,531.2576171,464.1496513,497.4201555,-37.80033198,144.9028362,-37.70821999,144.7738874
72,25251,25251,5.27102963,5.856699589,901.495554,927.3522536,900.814387,911.495554,-37.77022218,144.9979205,-37.7617248,144.9635651
73,22671,22674,8.059785246,11.86739832,635.3143444,667.1817428,612.6087095,645.3143444,-37.98965687,145.1676144,-38.02048358,145.1971093
74,23672,22671,19.78624591,28.67502696,146.8502923,195.5253192,116.6303707,156.8502923,-37.85938909,145.2966813,-37.98692184,145.2104498
75,24974,24974,8.789159547,9.76573283,721.361453,751.1271859,704.4564164,731.361453,-37.89492258,145.1512906,-37.9030722,145.139676
76,24975,24975,7.005550782,7.783945313,799.714,827.4979453,790.3738883,809.714,-37.87921805,145.0903191,-37.87717242,145.144454
77,22674,26352,25.1899645,32.1536785,540.7771825,592.930861,526.3856549,550.7771825,-38.01820276,145.1468757,-37.8613901,145.0778127
78,24411,27453,13.12027097,17.7349957,288.9059582,326.6409539,280.1636754,298.9059582,-37.79906981,145.3230878,-37.76960045,145.3817354
79,22671,21613,17.04651587,24.49150215,558.3895803,602.8810825,526.7457828,568.3895803,-37.98597217,145.1937513,-38.09935684,145.2553175
80,23673,23673,7.21150408,8.012782311,597.779352,625.7921344,581.2501156,607.779352,-37.87575234,145.2498063,-37.88086505,145.2294746
81,24608,21892,15.1574822,28.79172095,825.7568417,874.5485626,803.6955488,835.7568417,-37.80495954,144.949239,-37.71287052,145.0207105
82,23271,23271,9.461522169,10.51280241,457.8047296,488.317532,415.5337652,467.8047296,-37.66302101,144.9584764,-37.6704049,144.9229696
83,24608,24601,3.651196529,8.878211412,434.9160805,463.7942919,379.1262372,444.9160805,-37.81195414,144.9021328,-37.80689851,144.9809457
84,25341,25341,15.21394815,16.90438683,202.7059191,239.610306,198.2603716,212.7059191,-38.30600999,145.1658127,-38.30731252,145.1125446
85,25901,22311,5.913101571,10.17151934,318.3362772,348.5077965,325.1682742,328.3362772,-37.86491417,145.0001197,-37.88224214,145.0587448
86,24608,27352,7.070210194,14.95062233,739.6464393,774.5970617,734.7716413,749.6464393,-37.81032837,144.9793869,-37.82347399,145.008541
87,21892,21182,27.62269244,34.77031093,716.1432032,770.9135142,717.0026251,726.1432032,-37.73022231,145.0307166,-37.77500094,144.8312669
88,26352,26352,5.912110744,6.569011938,457.3495952,483.9186071,461.0304155,467.3495952,-37.87112146,145.0881114,-37.8615037,145.0199374
89,22174,22174,6.88502239,7.650024878,626.2332624,653.8832872,621.2044755,636.2332624,-38.1297799,145.1276252,-38.12867402,145.1329956
90,25713,25713,9.672561225,10.74729025,606.4405924,637.1878826,562.4649639,616.4405924,-37.71436705,145.2328825,-37.71406541,145.2052941
91,23111,27261,15.17765161,19.5862971,597.3285191,636.9148162,546.2426555,607.3285191,-37.84651479,144.7995192,-37.83593171,144.701565
92,24412,23672,11.07338685,17.02698599,402.8898604,439.9168463,381.7695554,412.8898604,-37.81684439,145.2041347,-37.85950269,145.2698032
93,21113,21113,5.096558435,5.662842706,571.3185539,596.9813966,522.8860437,581.3185539,-37.83504219,145.0322639,-37.81684694,145.0763558
94,21613,22671,17.15474276,24.51803174,231.9030707,276.4211024,189.6088884,241.9030707,-38.08549128,145.2573514,-37.99030264,145.2348442
95,21181,21181,8.393337,9.32593,654.273314,683.599244,651.7325108,664.273314,-37.7204009,144.846869,-37.70350601,144.8415112
96,24214,21111,8.747563798,13.44920299,824.1401156,857.5893186,832.4876714,834.1401156,-37.77513336,145.1095876,-37.810503,145.0689933
97,27076,27076,7.572964463,8.414404959,400.7559743,429.1703792,360.0568203,410.7559743,-37.65846603,145.0510041,-37.6597844,145.0235964
98,23275,23275,9.428344389,10.47593821,713.191696,743.6676342,657.8503559,723.191696,-37.56312023,144.7451977,-37.55722272,144.7918071
99,23431,23431,8.43538968,9.3726552,318.2022356,347.5748908,284.2553807,328.2022356,-37.97618006,145.0792323,-37.96790278,145.1197148
100,26352,20661,15.18058308,32.88838308,649.8381253,702.7265083,623.051459,659.8381253,-37.86207168,145.0548947,-37.7397307,145.0838398
101,22171,22174,10.35100912,14.22290105,599.7373958,633.9602969,589.5563196,609.7373958,-38.13886946,145.2063516,-38.13172473,145.1527356
102,23674,23674,8.032384258,8.924871398,721.3243867,750.2492581,698.5041167,731.3243867,-37.92342421,145.2873323,-37.92861971,145.2194978
103,24214,21112,13.77590914,23.84373208,258.6233941,302.4671262,202.4550503,268.6233941,-37.78110142,145.1153933,-37.83831579,145.1122504
104,24214,24214,8.226967689,9.14107521,894.6087098,923.749785,874.3956747,904.6087098,-37.77320697,145.13252,-37.78351887,145.1497918
105,27352,24601,4.796058182,11.30941273,201.2344591,232.5438719,208.61944,211.2344591,-37.82324706,145.043777,-37.81620096,144.9634052
106,21181,21182,11.83505735,16.48754197,456.4470037,492.9345456,398.2654544,466.4470037,-37.71455557,144.829058,-37.77934565,144.820262
107,24330,24608,8.687017822,16.76653478,260.4193806,297.1859154,224.7528581,270.4193806,-37.79942489,144.9092108,-37.80809766,144.9559063
108,23111,26351,21.53601551,30.54211406,710.191387,760.7335011,700.654376,720.191387,-37.8652541,144.8399217,-37.85512068,145.0066085
109,25902,21618,58.74584791,61.84131947,740.5882249,822.4295444,740.4736722,750.5882249,-37.82791928,144.9850874,-38.16721845,145.2864258
110,21453,21453,8.666420412,9.629356013,279.7481001,309.3774561,286.7645042,289.7481001,-38.06962041,145.4906663,-38.07643643,145.4297159
111,21892,23271,14.76993865,22.98904572,218.9749347,261.9639804,161.2921823,228.9749347,-37.71000371,145.0455083,-37.66908635,144.9112306
112,22314,27352,14.11188667,25.7147475,345.4899097,391.2046572,331.6291171,355.4899097,-37.92460954,145.0501506,-37.8229823,144.9938956
113,27071,27071,16.34039908,18.15599898,420.1651112,458.3211101,416.9865504,430.1651112,-37.52849915,145.105326,-37.52099286,145.1054711
114,24214,24214,8.226967689,9.14107521,710.6049331,739.7460083,663.195248,720.6049331,-37.78144138,145.1566135,-37.78129029,145.1828841
115,27352,24601,4.796058182,11.30941273,182.3723576,213.6817703,126.0278195,192.3723576,-37.82475997,145.0112961,-37.80561281,144.9938474
116,26352,26352,5.912110744,6.569011938,262.9894364,289.5584483,222.0743086,272.9894364,-37.85987549,145.0477872,-37.85855021,145.0128299
117,27351,24608,6.172677629,14.32191951,427.4331191,461.7550386,410.1030036,437.4331191,-37.78967748,145.0049747,-37.79830522,144.9596748
118,24608,25063,8.37592418,15.47851142,824.7144263,860.1929377,806.9140345,834.7144263,-37.81225661,144.9051766,-37.75878761,144.9110979
119,20661,20661,6.620187375,7.35576375,424.6733886,452.0291524,395.8396566,434.6733886,-37.75505607,145.1070503,-37.75800035,145.097476
120,25252,21453,70.19442398,72.67496219,189.7085783,282.3835405,130.447699,199.7085783,-37.74461193,144.9141757,-38.07274283,145.4903754
121,24330,21182,9.487589165,13.63975941,711.2787883,744.9185477,657.3617564,721.2787883,-37.79473828,144.8466236,-37.78002569,144.8124426
122,21613,21613,8.653800239,9.615333599,510.8362766,540.4516102,455.3203333,520.8362766,-38.08514845,145.2646153,-38.1010329,145.2710075
123,21114,21891,6.756184149,15.33509441,590.0842546,625.419349,579.9494818,600.0842546,-37.7917674,145.0068501,-37.76272907,145.0011797
124,21612,21612,9.734935752,10.81659528,736.5982426,767.4148379,697.5239883,746.5982426,-38.01804878,145.3449019,-38.02926427,145.2924375
125,27351,27351,6.825442664,7.583825182,706.1858789,733.7697041,669.2271542,716.1858789,-37.7880524,144.9888801,-37.79859655,144.993085
126,20912,22314,6.527402777,10.74770833,446.8810005,477.6287088,415.7461573,456.8810005,-37.96279965,145.0692015,-37.92733978,145.0517462
127,26352,22314,8.219725253,14.85724647,769.0558783,803.9131247,728.2003144,779.0558783,-37.87025056,145.0820192,-37.91137544,145.0829329
128,24608,24608,8.974677865,9.971864294,750.6452889,780.6171532,701.1305372,760.6452889,-37.8004225,144.9702556,-37.80325815,144.9712702
129,24971,24974,9.359184541,15.52407536,303.6341682,339.1582435,259.2264016,313.6341682,-37.90201898,145.1316197,-37.91122182,145.1877315
130,21181,21181,8.393337,9.32593,779.8776373,809.2035673,765.4957245,789.8776373,-37.70855939,144.8050204,-37.70607042,144.767516
131,24411,24411,6.791137773,7.545708637,431.3040029,458.8497116,423.9982881,441.3040029,-37.79910761,145.3181482,-37.80239627,145.2919974
132,26981,26981,5.601152082,6.223502313,304.1064084,330.3299107,248.9661377,314.1064084,-37.81798989,145.1202429,-37.83330932,145.1150186
133,23431,22314,8.237303667,12.75182033,500.5389228,533.2907431,461.7495515,510.5389228,-37.97337034,145.1382874,-37.92999419,145.0956976
134,25902,24608,6.05411987,12.01409773,461.3182923,493.3323901,405.473761,471.3182923,-37.84131432,144.989001,-37.81720955,144.9722848
135,22174,22174,6.88502239,7.650024878,755.641905,783.2919299,752.9309816,765.641905,-38.12947483,145.1820552,-38.1292079,145.1726206
136,24974,24974,8.789159547,9.76573283,453.528882,483.2946149,405.9334298,463.528882,-37.90826521,145.2212687,-37.89901634,145.180182
137,21111,21111,5.6648858,6.294317555,754.8220182,781.1163358,754.4269678,764.8220182,-37.80120365,145.0584023,-37.79666738,145.0562261
138,24412,24411,6.850778273,11.2422703,627.9525782,659.1948485,615.4471882,637.9525782,-37.822138,145.2363775,-37.79612135,145.3162595
139,26351,26352,6.343576932,11.08308104,855.1323198,886.2154009,848.6937583,865.1323198,-37.8437291,145.0164688,-37.85885313,145.0324118
140,20835,24608,107.3302726,96.02225811,638.1000619,754.1223201,639.4459253,648.1000619,-38.03925969,145.9037493,-37.80832451,144.9764881
141,24608,25252,10.83031435,20.42493851,655.23251,695.6574485,605.3134172,665.23251,-37.80734149,144.9009732,-37.72732867,144.9973806
142,26985,26985,6.267397933,6.963775481,560.6369508,587.6007262,566.2172165,570.6369508,-37.83124488,145.1327154,-37.83741126,145.1536177
143,25063,24330,8.109901761,14.99190724,281.5180041,316.5099114,232.0401691,291.5180041,-37.76003369,144.9116776,-37.78438237,144.8537226
144,20661,24601,13.07228576,28.46699848,250.3357693,298.8027677,259.0504626,260.3357693,-37.74660069,145.099797,-37.81983119,144.9763069
145,27351,27351,6.825442664,7.583825182,632.0873826,659.6712077,601.2200289,642.0873826,-37.79602665,145.0384687,-37.78899721,144.991635
146,22171,22174,10.35100912,14.22290105,239.148933,273.371834,185.9362122,249.148933,-38.14199656,145.2141925,-38.13633892,145.1745076
